ID,English,简体中文,繁体中文,
General,General,常规,常規,
Your_language,Language:,语言：,語言：,
HT_G_Language,Change the software's interface language.\n\nThe language file is located at:\n\tData\Language.csv\n\nYou can add or edit languages using Excel or any CSV editor.,将本软件的界面改为你所使用的语种。\n\n 语言文件位于：\n\tData\Language.csv\n\n 你可以使用 Excel 或任意 csv 编辑器添加或修改语言文件。,更改本軟體的介面語言。\n\n語言檔案位於：\n\tData\Language.csv\n\n您可以使用 Excel 或任何 CSV 編輯器新增或修改語言。,
Your_Photoshop_version,Photoshop version:,Photoshop 版本：,Photoshop 版本：,
HT_PsCSver,Please select the Photoshop version you are currently using.\n\nThis setting will affect the software's functionality on versions below CC 2019.,正确选择你正在使用的 Photoshop 版本。\n\n此选项将影响本软件在 CC 2019 以下版本使用效果。,請正確選擇您正在使用的 Photoshop 版本。\n\n此選項將影響本軟體在 CC 2019 以下版本的使用效果。,
Autosave,Autosave,自动保存,自動儲存,
Disabled,Disabled,禁用,禁用,
Autosave_tip,Tip only,提示,提示,
Autosave_yes,Automatically,自动,自動,
Every,Every,间隔,間隔,
Min,Min.,分钟,分鐘,
Autosave_Optional,Tip text (Optional),提示文本（选填）,提示文字（選填）,
TipText,It's time to save!,现在保存一下吧！,現在儲存一下吧！,
Savenow,Save now!,立刻保存！,立即儲存！,
HT_Autosave,Disabled:\nTurns off this feature.\n\nTip only:\nPeriodically shows a save reminder.\n\nAutomatically:\nSaves automatically at set intervals without a prompt.,禁用：\n关闭此功能。\n\n提示：\n定时弹出保存提示信息。\n\n自动：\n无提示，定时自动保存。,禁用：\n關閉此功能。\n\n提示：\n定時彈出儲存提示訊息。\n\n自動：\n無提示，定時自動儲存。,
HT_Savesleep,Setting the interval too short (less than 2 minutes) may cause file corruption!,间隔时间设置过短（小于 2 分钟）有可能损坏文件！,間隔時間設置過短（小於 2 分鐘）有可能損壞檔案！,
Save,Save,保存,儲存,
Cancel,Cancel,取消,取消,
Apply,Apply,应用,應用,
Reset,Reset,恢复默认,還原默認,
Config_CS5mark,Grayed out items are for CS5 and later versions only.,灰色项目仅用于 CS5 及以上版本,灰色項目僅適用於 CS5 及以上版本,
Browse,Browse...,浏览...,瀏覽…,
HT_PsPath,Location of the Photoshop executable file.\nClick the browse button to change.,当前 Photoshop 启动文件的位置。\n点击浏览按钮以更改。,Photoshop 啟動檔案的位置。\n點擊瀏覽按鈕以變更。,
HT_Browse1,Click to select the location of the Photoshop executable.\nThis can also be a loader or a shortcut.,点击以选择 Photoshop 启动文件的位置。\n也可以是加载器或快捷方式。,點擊以選擇 Photoshop 啟動檔案的位置。\n也可以是載入器或捷徑。,
HelpTip,Tips,说明,說明,
Ignore,Ignore,忽略,忽略,
ChangeLog,ChangeLog,更新日志,更新日誌,
